"year","mm-dd","location","parameter","unit","datatype","value"
2024,"1-22","FPT","flow","CFS","Flow",28934.917
2024,"1-23","FPT","flow","CFS","Flow",38437.292
2024,"1-24","FPT","flow","CFS","Flow",42397.333
2024,"1-25","FPT","flow","CFS","Flow",44072.167
2024,"1-26","FPT","flow","CFS","Flow",45161.042
2024,"1-27","FPT","flow","CFS","Flow",44665.75
2024,"1-28","FPT","flow","CFS","Flow",42852.625
2024,"1-29","FPT","flow","CFS","Flow",38417.083
2024,"1-30","FPT","flow","CFS","Flow",34330.417
2024,"1-31","FPT","flow","CFS","Flow",31999.833
2024,"2-1","FPT","flow","CFS","Flow",34925.292
2024,"2-2","FPT","flow","CFS","Flow",40997.042
2024,"2-3","FPT","flow","CFS","Flow",46852.875
2024,"2-4","FPT","flow","CFS","Flow",51754.917
2024,"2-5","FPT","flow","CFS","Flow",57540.375
2024,"2-6","FPT","flow","CFS","Flow",61984.5
2024,"2-7","FPT","flow","CFS","Flow",62690.958
2024,"2-8","FPT","flow","CFS","Flow",63119.417
2024,"2-9","FPT","flow","CFS","Flow",62745.292
2024,"2-10","FPT","flow","CFS","Flow",61174.333
2024,"2-11","FPT","flow","CFS","Flow",59997.542
2024,"2-12","FPT","flow","CFS","Flow",57752.375
2024,"2-13","FPT","flow","CFS","Flow",54045.25
2024,"2-14","FPT","flow","CFS","Flow",50717.958
2024,"2-15","FPT","flow","CFS","Flow",49963.25
2024,"2-16","FPT","flow","CFS","Flow",49413.292
2024,"2-17","FPT","flow","CFS","Flow",50094.958
2024,"2-18","FPT","flow","CFS","Flow",52258.958
2024,"2-19","FPT","flow","CFS","Flow",57030.792
2024,"2-20","FPT","flow","CFS","Flow",63213.792
2024,"2-21","FPT","flow","CFS","Flow",67009.708
2024,"2-22","FPT","flow","CFS","Flow",67796.5
2024,"2-23","FPT","flow","CFS","Flow",67722.875
2024,"2-24","FPT","flow","CFS","Flow",67400.917
2024,"2-25","FPT","flow","CFS","Flow",67051.792
2024,"2-26","FPT","flow","CFS","Flow",66914.333
2024,"2-27","FPT","flow","CFS","Flow",66399.917
2024,"2-28","FPT","flow","CFS","Flow",66669.542
2024,"2-29","FPT","flow","CFS","Flow",66159.417
2024,"3-1","FPT","flow","CFS","Flow",66138.125
2024,"3-2","FPT","flow","CFS","Flow",66189.125
2024,"3-3","FPT","flow","CFS","Flow",66255.208
2024,"3-4","FPT","flow","CFS","Flow",65747.792
2024,"3-5","FPT","flow","CFS","Flow",64658.25
2024,"3-6","FPT","flow","CFS","Flow",63236.958
2024,"3-7","FPT","flow","CFS","Flow",61754.792
2024,"3-8","FPT","flow","CFS","Flow",60748.708
2024,"3-9","FPT","flow","CFS","Flow",60756.417
2024,"3-10","FPT","flow","CFS","Flow",60106.826
2024,"3-11","FPT","flow","CFS","Flow",58521.375
2024,"3-12","FPT","flow","CFS","Flow",56600.708
2024,"3-13","FPT","flow","CFS","Flow",55169.25
2024,"3-14","FPT","flow","CFS","Flow",53814.875
2024,"3-15","FPT","flow","CFS","Flow",53258.417
2024,"3-16","FPT","flow","CFS","Flow",52140.083
2024,"3-17","FPT","flow","CFS","Flow",50607.833
2024,"3-18","FPT","flow","CFS","Flow",48441.583
2024,"3-19","FPT","flow","CFS","Flow",46322.833
2024,"3-20","FPT","flow","CFS","Flow",44163.583
2024,"3-21","FPT","flow","CFS","Flow",42401.292
2024,"3-22","FPT","flow","CFS","Flow",40411.083
2024,"3-23","FPT","flow","CFS","Flow",39525.833
2024,"3-24","FPT","flow","CFS","Flow",39500.417
2024,"3-25","FPT","flow","CFS","Flow",39715.542
2024,"3-26","FPT","flow","CFS","Flow",40771.167
2024,"3-27","FPT","flow","CFS","Flow",40717.458
2024,"3-28","FPT","flow","CFS","Flow",39723.667
2024,"3-29","FPT","flow","CFS","Flow",39308.625
2024,"3-30","FPT","flow","CFS","Flow",41362.25
2024,"3-31","FPT","flow","CFS","Flow",43619.958
2024,"4-1","FPT","flow","CFS","Flow",43082.25
2024,"4-2","FPT","flow","CFS","Flow",42253.542
2024,"4-3","FPT","flow","CFS","Flow",40105.708
2024,"4-4","FPT","flow","CFS","Flow",38521.083
2024,"4-5","FPT","flow","CFS","Flow",38029.792
2024,"4-6","FPT","flow","CFS","Flow",37603
2024,"4-7","FPT","flow","CFS","Flow",37386.5
2024,"4-8","FPT","flow","CFS","Flow",31289.375
2024,"4-9","FPT","flow","CFS","Flow",31603.708
2024,"4-10","FPT","flow","CFS","Flow",31204.25
